,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-L/100km,price,city-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
1,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
2,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
3,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
4,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
5,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
6,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
7,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
8,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
9,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
10,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
11,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
12,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
13,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
14,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
15,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
16,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
17,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
18,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
19,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
20,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
21,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
22,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
23,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
24,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
25,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
26,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
27,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
28,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
29,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
30,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
31,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
32,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
33,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
34,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
35,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
36,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
37,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
38,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
39,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
40,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
41,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
42,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
43,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
44,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
45,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
46,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,High,0,1,1,0
47,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
48,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
49,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
50,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
51,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
52,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
53,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
54,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
55,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
56,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
57,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
58,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
59,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
60,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
61,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
62,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
63,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,1,0,1,0
64,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,1,0,0,1
65,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,1,0,0,1
66,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,1,0,0,1
67,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,1,0,0,1
68,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
69,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
70,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
71,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Medium,0,1,1,0
72,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
73,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
74,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
75,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
76,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
77,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Low,0,1,0,1
78,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,Low,0,1,1,0
79,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,turbo,Medium,0,1,0,1
